id,brand,model,type,resolution_label,megapixels,sensor,field_of_view_deg,night_vision_type,ip_rating,two_way_audio,release_year
blink-video-doorbell,Blink,Video Doorbell,covert,1080p HD,2,,135 diagonal (head-to-toe),ir,IPX5,true,2023
blink-wired-floodlight,Blink,Wired Floodlight Camera,bullet,2K HD,4,,142 diagonal,color,IP65,true,2023
blink-xt2,Blink,XT2,bullet,1080p HD,2,,110 diagonal,ir,IP65,true,2019
bosch-flexidome-5100i-mena,Bosch,FLEXIDOME 5100i (MENA),dome,5MP,5,"1/2.7"" CMOS",110-32 horizontal,ir,IP66,true,2022
bosch-mic-550ir55-p,Bosch,MIC inteox 7100i PTZ (MIC-550IR55-P),ptz,1080p,2,"1/2.8"" CMOS",,ir,IP68,true,
bosch-nbe-5702-al,Bosch,DINION 5100i 2MP Bullet (NBE-5702-AL),bullet,1080p,2,"1/2.8"" CMOS",105-31 horizontal,ir,IP67,true,
bosch-nbe-5703-al,Bosch,DINION 5100i 5MP Bullet (NBE-5703-AL),bullet,5MP,5,"1/2.7"" CMOS",96-29 horizontal,ir,IP67,true,
bosch-nbe-7702-alxt,Bosch,FLEXIDOME 7000i Bullet (NBE-7702-ALXT),bullet,1080p,2,"1/2.8"" CMOS",31-8 horizontal,ir,IP67,false,
bosch-nbe-7703-al,Bosch,FLEXIDOME 7000i Outdoor (NBE-7703-AL),bullet,1080p HD,2,"1/2.8"" CMOS (starlight)",35-14 horizontal (tele),none,IP66,true,2021
bosch-nbn-9122-p,Bosch,DINION IP 12MP (NBN-9122-P),box,12MP,12,"2/3"" Progressive Scan CMOS",,none,IP31,false,
bosch-ndc-8502-r-ooh,Bosch,FLEXIDOME 8000i 4K Outdoor Dome,dome,4K UHD,8,"1/1.8"" CMOS (starlight)",100-33 horizontal,ir,IP66,true,2023
bosch-nde-5503-al,Bosch,FLEXIDOME IP outdoor 5000i (NDE-5503-AL),dome,5MP,5,"1/2.9"" Progressive Scan CMOS",98-29 horizontal,ir,IP66,false,
bosch-nde-5702-al,Bosch,FLEXIDOME outdoor 5100i 2MP (NDE-5702-AL),dome,1080p,2,"1/2.8"" CMOS",105-31 horizontal,ir,IP66,true,
bosch-nde-5703-al,Bosch,FLEXIDOME outdoor 5100i 5MP (NDE-5703-AL),dome,5MP,5,"1/2.7"" CMOS",96-29 horizontal,ir,IP66,true,
bosch-nde-7703-al,Bosch,FLEXIDOME outdoor 7000i 5MP (NDE-7703-AL),dome,5MP,5,"1/2.7"" CMOS",96-29 horizontal,ir,IP66,true,
bosch-nde-8512-r,Bosch,FLEXIDOME IP starlight 8000i (NDE-8512-R),dome,1080p,2,"1/1.8"" CMOS (starlight)",100-35 horizontal,none,IP54,true,2022
bosch-nde-8512-rx,Bosch,FLEXIDOME IP starlight 8000i (NDE-8512-RX),dome,1080p,2,"1/1.8"" CMOS (starlight)",100-35 horizontal,ir,IP66,true,
bosch-ndm-7703-al,Bosch,FLEXIDOME multi 7000i 4x5MP (NDM-7703-AL),panoramic,4x5MP multisensor,20,"4x 1/2.7"" CMOS",360,ir,IP66,true,
bosch-nds-5703-f360le,Bosch,FLEXIDOME panoramic 5100i 6MP (NDS-5703-F360LE),panoramic,6MP 360deg,6,"1/2.5"" CMOS",360,ir,IP66,false,
bosch-ndv-5702-al,Bosch,FLEXIDOME indoor 5100i 2MP (NDV-5702-AL),dome,1080p,2,"1/2.8"" CMOS",105-31 horizontal,ir,IP54,true,
bosch-ndv-5703-al,Bosch,FLEXIDOME indoor 5100i 5MP (NDV-5703-AL),dome,5MP,5,"1/2.7"" CMOS",96-29 horizontal,ir,IP54,true,
bosch-nti-50022-a3,Bosch,AUTODOME 7000 IP (NTI-50022-A3),ptz,1080p,2,"1/2.8"" CMOS",57.6-3.1 horizontal,ir,IP66,true,
bosch-nti-50022-a3s,Bosch,AUTODOME 5100i 20x (NTI-50022-A3S),ptz,1080p,2,"1/2.8"" CMOS",57.3-3.1 horizontal,ir,IP66,true,
bosch-nue-3703-al,Bosch,FLEXIDOME outdoor 3000i (NUE-3703-AL),dome,5MP,5,"1/2.7"" CMOS",100-32 horizontal,ir,IP66,false,
bosch-smart-home-outdoor-cam-2,Bosch Smart Home,Outdoor Camera II,dome,1080p HD,2,,130 diagonal,color,IP65,true,2023
bosch-smart-home-outdoor-cam-2-ch,Bosch Smart Home,Outdoor Camera II (Switzerland),dome,1080p HD,2,,130 diagonal,color,IP65,true,2023
bosch-vg4-psu0-ewa,Bosch,AUTODOME 5000i PTZ,ptz,1080p HD,2,"1/2.8"" CMOS",56-3.0 horizontal,none,IP66,false,2022
camius-boltx-4k,Camius,Boltx 4K,bullet,4K UHD,8,"1/2.8"" CMOS",,ir,IP67,false,2023
camius-boltx-5mp,Camius,Boltx 5MP,bullet,5MP Super HD,5,"1/2.7"" CMOS",,ir,IP67,false,2022
camius-caelus-ptz,Camius,Caelus PTZ,ptz,5MP Super HD,5,"1/2.7"" CMOS",,ir,IP67,true,2023
camius-iris-4k,Camius,Iris 4K,dome,4K UHD,8,"1/2.8"" CMOS",,ir,IP67,false,2023
camius-iris-5mp,Camius,Iris 5MP,dome,5MP Super HD,5,"1/2.7"" CMOS",,ir,IP67,false,2022
camius-triton,Camius,Triton,turret,5MP Super HD,5,"1/2.7"" CMOS",,ir,IP67,true,2023
canon-vb-r13ve,Canon,VB-R13VE,ptz,1080p HD,2,"1/2.3"" CMOS",64.5-2.2 horizontal,none,IP66,false,2022
canon-vb-s805d-mk2,Canon,VB-S805D Mk II,dome,1080p HD,2,"1/2.9"" CMOS",123 horizontal,none,IP40,false,2022
cathexis-cat-ipc-b2030,Cathexis,CAT-IPC-B2030,bullet,1080p FHD,2,"1/2.8"" CMOS",,ir,IP67,false,
cathexis-cat-ipc-b4060,Cathexis,CAT-IPC-B4060,bullet,1440p QHD,4,"1/3"" CMOS",,ir,IP67,false,
cathexis-cat-ipc-d2020,Cathexis,CAT-IPC-D2020,dome,1080p FHD,2,"1/2.8"" CMOS",,ir,IP66,false,
cathexis-cat-ipc-d4050,Cathexis,CAT-IPC-D4050,dome,1440p QHD,4,"1/3"" CMOS",,ir,IP66,false,
cathexis-cat-ipc-d5070,Cathexis,CAT-IPC-D5070,dome,5MP,5,"1/2.7"" CMOS",,ir,IP66,false,
cathexis-cat-ipc-ptz4025,Cathexis,CAT-IPC-PTZ4025,ptz,1440p QHD,4,"1/2.8"" CMOS",,ir,IP66,true,
costar-cbr-2312ir,Costar,CBR-2312IR,bullet,1080p FHD,2,"1/2.8"" CMOS",,ir,IP67,false,
costar-cbr-5312ir,Costar,CBR-5312IR,bullet,5MP,5,"1/2.7"" CMOS",,ir,IP67,false,
costar-cdi-2312irv,Costar,CDI-2312IRV,dome,1080p FHD,2,"1/2.8"" CMOS",,ir,IP66,false,
costar-cdi-5312irv,Costar,CDI-5312IRV,dome,5MP,5,"1/2.7"" CMOS",,ir,IP66,false,
costar-conteraip-bullet-8mp,Costar,ConteraIP Bullet 8MP,bullet,4K UHD,8,"1/2.8"" CMOS",,ir,IP67,true,
costar-conteraip-dome-5mp,Costar,ConteraIP Dome 5MP,dome,5MP,5,"1/2.7"" CMOS",,ir,IP66,true,
costar-conteraip-dome-8mp,Costar,ConteraIP Dome 8MP,dome,4K UHD,8,"1/2.8"" CMOS",,ir,IP66,true,
costar-conteraip-panoramic-12mp,Costar,ConteraIP Panoramic 12MP,panoramic,12MP,12,"1/1.7"" CMOS",,ir,IP66,true,
cp-plus-cp-e35q,CP Plus,CP-E35Q,ptz,3MP 2K,3,"1/2.7"" CMOS",355 pan / 90 tilt,color,IP20,true,2023
cp-plus-cp-e45q-india,CP Plus,CP-E45Q,ptz,4MP,4,,60-2.5h,ir,IP66,false,2021
cp-plus-cp-unc-ba41pl3,CP Plus,CP-UNC-BA41PL3,bullet,4MP,4,,103h,color,IP67,false,2022
cp-plus-cp-unc-ba81l3s2,CP Plus,CP-UNC-BA81L3-S2,bullet,4K UHD,8,,107h,ir,IP67,false,2023
cp-plus-cp-unc-da21pl3,CP Plus,CP-UNC-DA21PL3,dome,1080p HD,2,"1/2.8"" 2MP Progressive Scan CMOS",103 horizontal (2.8mm),ir,IP67,false,2021
cp-plus-cp-unc-da41l3c-d-lq,CP Plus,CP-UNC-DA41L3C-D-LQ,dome,4MP,4,"1/2.7"" CMOS",98 horizontal,hybrid,IP67,false,2023
cp-plus-cp-unc-da41l3s2,CP Plus,CP-UNC-DA41L3S2-LQ,turret,4MP,4,,106h,ir,IP66,false,2023
cp-plus-cp-unc-da41pl3c-d-lq,CP Plus,CP-UNC-DA41PL3C-D-LQ,turret,4MP,4,,106h,color,IP66,false,2022
cp-plus-cp-unc-ta21l3b-lq,CP Plus,CP-UNC-TA21L3B-LQ,bullet,1080p HD,2,"1/2.8"" CMOS",98 horizontal,hybrid,IP67,true,2023
cp-plus-cp-unc-ta21pl3,CP Plus,CP-UNC-TA21PL3,bullet,1080p HD,2,"1/2.8"" 2MP Progressive Scan CMOS",103 horizontal (2.8mm),ir,IP67,false,2021
cp-plus-cp-unc-ta41l3c-d-lq,CP Plus,CP-UNC-TA41L3C-D-LQ,bullet,4MP,4,"1/2.7"" CMOS",98 horizontal,hybrid,IP67,false,2023
cp-plus-cp-unc-ta81pl3,CP Plus,CP-UNC-TA81PL3,turret,4K UHD,8,,107h,color,IP67,false,2022
cp-plus-cp-unc-wi41pl3,CP Plus,CP-UNC-WI41PL3,bullet,4MP,4,,107h,color,IP66,false,2023
cp-plus-cp-z43q,CP Plus,CP-Z43Q,ptz,4MP QHD,4,"1/2.7"" CMOS",360 pan / 90 tilt,color,IP66,true,2024
cp-plus-cp-z43q-2,CP Plus,CP-Z43Q,ptz,4MP,4,,60-2.5h,ir,IP66,false,2022
dahua-dh-sd49425xb-hnr,Dahua,SD49425XB-HNR,ptz,4MP,4,"1/2.8"" STARVIS CMOS",60-2.5 horizontal,ir,IP66,false,2023
dahua-dh-sd6al245xa-hnr,Dahua,DH-SD6AL245XA-HNR,ptz,4MP,4,"1/2.8"" Starlight CMOS",,ir,IP67,true,2023
dahua-hac-hdw1509tq-a-led,Dahua,HAC-HDW1509TQ-A-LED,dome,5MP HD,5,,107h,color,IP67,false,2022
dahua-hac-hfw1509th-a-led,Dahua,HAC-HFW1509TH-A-LED,bullet,5MP HD,5,,107h,color,IP67,false,2022
dahua-hac-hfw2802e-led,Dahua,HAC-HFW2802E-LED,bullet,4K UHD,8,,107h,color,IP67,false,2023
dahua-hac-hfw2849e-a-ni-led,Dahua,HAC-HFW2849E-A-NI-LED,bullet,4K UHD,8,,107h,color,IP67,false,2023
dahua-ipc-hdbw2441e-s,Dahua,IPC-HDBW2441E-S,dome,4MP,4,"1/2.9"" CMOS",,ir,IP67,false,
dahua-ipc-hdbw2441r-zas,Dahua,IPC-HDBW2441R-ZAS,dome,4MP,4,"1/3"" CMOS",,ir,IP67,true,2023
dahua-ipc-hdbw2831e-s-s2,Dahua,IPC-HDBW2831E-S-S2,dome,4K UHD,8,"1/2.7"" CMOS",,ir,IP67,false,
dahua-ipc-hdbw2849h-s-il-ax,Dahua,IPC-HDBW2849H-S-IL-AX,dome,4K UHD,8,"1/2.7"" CMOS",113 horizontal,hybrid,IP67,false,2024
dahua-ipc-hdbw2849h-s-il-s2,Dahua,IPC-HDBW2849H-S-IL-S2,dome,4K UHD,8,"1/2.7"" CMOS",,hybrid,IP67,false,2024
dahua-ipc-hdbw3241e-s,Dahua,IPC-HDBW3241E-S,dome,1080p HD,2,,106h,ir,IP67,false,2022
dahua-ipc-hdbw3441e-s,Dahua,IPC-HDBW3441E-S,dome,4MP,4,,106h,ir,IP67,false,2022
dahua-ipc-hdbw3849e-s-il,Dahua,IPC-HDBW3849E-S-IL,dome,4K UHD,8,,107h,hybrid,IP67,false,2023
dahua-ipc-hdbw3849h-zas,Dahua,IPC-HDBW3849H-ZAS,dome,4K UHD,8,"1/2.7"" CMOS",,ir,IP67,false,
dahua-ipc-hdbw3849h-zas-pv-s2,Dahua,IPC-HDBW3849H-ZAS-PV-S2,dome,4K UHD,8,"1/2.8"" CMOS",,hybrid,IP67,true,2025
dahua-ipc-hdbw5442r-ze,Dahua,IPC-HDBW5442R-ZE,dome,4MP,4,,110-30h,ir,IP67,false,2023
dahua-ipc-hdw1239t1-led-s6,Dahua,IPC-HDW1239T1-LED-S6,dome,1080p HD,2,,107h,color,IP67,false,2024
dahua-ipc-hdw1439t-a-led-s4,Dahua,IPC-HDW1439T-A-LED-S4,dome,4MP,4,,107h,color,IP67,false,2022
dahua-ipc-hdw1439t1-led,Dahua,IPC-HDW1439T1-LED,dome,4MP,4,,107h,color,IP67,false,2021
dahua-ipc-hdw1830t-h,Dahua,IPC-HDW1830T-H,dome,4K UHD,8,,107h,ir,IP67,false,2022
dahua-ipc-hdw2241h-s,Dahua,IPC-HDW2241H-S,turret,1080p HD,2,,107h,ir,IP67,false,2022
dahua-ipc-hdw2249t-s-il,Dahua,IPC-HDW2249T-S-IL,turret,2MP,2,"1/2.8"" CMOS",,hybrid,IP67,false,2024
dahua-ipc-hdw2439t-as-led-s2,Dahua,IPC-HDW2439T-AS-LED-S2,turret,4MP,4,,107h,color,IP67,false,2023
dahua-ipc-hdw2441h-s,Dahua,IPC-HDW2441H-S,turret,4MP,4,,107h,ir,IP67,false,2022
dahua-ipc-hdw2449h-s-il,Dahua,IPC-HDW2449H-S-IL,turret,4MP,4,"1/2.7"" CMOS",,hybrid,IP67,false,
dahua-ipc-hdw2831t-as-pv,Dahua,IPC-HDW2831T-AS-PV,turret,4K UHD,8,"1/2.7"" CMOS",113 horizontal,hybrid,IP67,true,2023
dahua-ipc-hdw2831t-as-s2,Dahua,IPC-HDW2831T-AS-S2,turret,4K UHD,8,"1/2.7"" CMOS",,ir,IP67,false,2022
dahua-ipc-hdw2841t-zs,Dahua,IPC-HDW2841T-ZS,dome,4K / 8MP,8,"1/2.8"" CMOS",,ir,IP67,false,2023
dahua-ipc-hdw2849h-s-il,Dahua,IPC-HDW2849H-S-IL,turret,4K UHD,8,"1/2.7"" CMOS",,hybrid,IP67,false,
dahua-ipc-hdw2849h-s-il-india,Dahua,IPC-HDW2849H-S-IL (India),turret,4K UHD,8,"1/2.7"" CMOS",113 horizontal,hybrid,IP67,false,2023
dahua-ipc-hdw2849h-s-il-s2,Dahua,IPC-HDW2849H-S-IL-S2,turret,4K UHD,8,,107h,hybrid,IP67,false,2023
dahua-ipc-hdw2849t1-as-pv,Dahua,IPC-HDW2849T1-AS-PV,turret,4K UHD,8,,107h,hybrid,IP67,true,2023
dahua-ipc-hdw3449h-as-pv-pro,Dahua,IPC-HDW3449H-AS-PV-PRO,turret,4MP,4,"1/1.8"" CMOS",113 horizontal,hybrid,IP67,true,2024
dahua-ipc-hdw3549h-as-pv,Dahua,IPC-HDW3549H-AS-PV,turret,5MP,5,"1/2.7"" CMOS",,hybrid,IP67,true,
dahua-ipc-hdw3649h-as-ni,Dahua,IPC-HDW3649H-AS-NI,dome,6MP,6,"1/2.7"" CMOS",,color,IP67,true,2024
dahua-ipc-hdw3849h-as-pv,Dahua,IPC-HDW3849H-AS-PV,turret,4K UHD,8,"1/2.8"" CMOS",,hybrid,IP67,true,
dahua-ipc-hdw3849h-as-pv-eu,Dahua,IPC-HDW3849H-AS-PV (EU),turret,4K UHD,8,"1/2.8"" CMOS",113 horizontal,hybrid,IP67,true,2023
dahua-ipc-hdw3849h-as-pv-mena,Dahua,IPC-HDW3849H-AS-PV (MENA),turret,4K UHD,8,"1/2.8"" CMOS",113 horizontal,hybrid,IP67,true,2023
dahua-ipc-hdw3849h-as-pv-pro,Dahua,IPC-HDW3849H-AS-PV-PRO,turret,4K UHD,8,"1/1.8"" CMOS",,hybrid,IP67,true,
dahua-ipc-hdw3849h-as-pv-uk,Dahua,IPC-HDW3849H-AS-PV (UK market),turret,4K UHD,8,"1/2.8"" CMOS",113 horizontal,hybrid,IP67,true,2023
dahua-ipc-hdw3849h-zas-pv,Dahua,IPC-HDW3849H-ZAS-PV,turret,4K UHD,8,"1/2.8"" CMOS",,hybrid,IP67,true,
dahua-ipc-hdw3849h-zas-pv-varifocal,Dahua,IPC-HDW3849H-ZAS-PV,turret,4K UHD,8,,110-30h,hybrid,IP67,true,2023
dahua-ipc-hdw5442t-ze,Dahua,IPC-HDW5442T-ZE,turret,4MP,4,,110-30h,ir,IP67,false,2023
dahua-ipc-hdw5442tm-ase,Dahua,IPC-HDW5442TM-ASE,turret,4MP,4,"1/1.8"" Progressive Scan CMOS",,ir,IP67,false,
dahua-ipc-hdw5449h-ase-d2,Dahua,IPC-HDW5449H-ASE-D2,dome,4MP,4,"1/1.8"" CMOS",,hybrid,IP67,true,2024
dahua-ipc-hdw5842t-ze,Dahua,IPC-HDW5842T-ZE,turret,4K UHD,8,"1/2.8"" CMOS",,ir,IP67,false,
dahua-ipc-hdw5842t-ze-led,Dahua,IPC-HDW5842T-ZE-LED,turret,4K UHD,8,"1/1.8"" CMOS",,color,IP67,false,
dahua-ipc-hdw5849t1-ze-led,Dahua,IPC-HDW5849T1-ZE-LED,turret,4K UHD,8,"1/1.2"" CMOS",110-30 horizontal,color,IP67,false,2024
dahua-ipc-hdw7842h-z4-x,Dahua,IPC-HDW7842H-Z4-X,turret,4K UHD,8,,83-15h,ir,IP67,false,2022
dahua-ipc-hf71242f-z-x,Dahua,IPC-HF71242F-Z-X,box,12MP,12,"1/1.7"" Progressive Scan CMOS",,none,IP42,false,2024
dahua-ipc-hfw1239s1-led-s6,Dahua,IPC-HFW1239S1-LED-S6,bullet,1080p HD,2,,107h,color,IP67,false,2024
dahua-ipc-hfw1439s-led-s4,Dahua,IPC-HFW1439S-LED-S4,bullet,4MP,4,,107h,color,IP67,false,2022
dahua-ipc-hfw1439s1-led,Dahua,IPC-HFW1439S1-LED,bullet,4MP,4,,107h,color,IP67,false,2021
dahua-ipc-hfw1439s1-led-s4,Dahua,IPC-HFW1439S1-LED-S4,bullet,4MP,4,,107h,color,IP67,false,2023
dahua-ipc-hfw1439s1p-led-s4,Dahua,IPC-HFW1439S1P-LED-S4,bullet,4MP,4,"1/3"" CMOS",,color,IP67,false,2023
dahua-ipc-hfw1830s-s6,Dahua,IPC-HFW1830S-S6,bullet,4K UHD,8,,107h,ir,IP67,false,2022
dahua-ipc-hfw2241e-s,Dahua,IPC-HFW2241E-S,bullet,1080p HD,2,,106h,ir,IP67,false,2022
dahua-ipc-hfw2249s-s-il-nl,Dahua,IPC-HFW2249S-S-IL-NL,bullet,2MP,2,"1/2.8"" CMOS",,color,IP67,false,2024
dahua-ipc-hfw2431t-as-s2,Dahua,IPC-HFW2431T-AS-S2,bullet,4MP,4,"1/3"" CMOS",,ir,IP67,false,2022
dahua-ipc-hfw2439s-sa-led-b,Dahua,IPC-HFW2439S-SA-LED-B,bullet,4MP,4,,107h,color,IP67,false,2023
dahua-ipc-hfw2441e-s,Dahua,IPC-HFW2441E-S,bullet,4MP,4,,106h,ir,IP67,false,2022
dahua-ipc-hfw2449s-s-il,Dahua,IPC-HFW2449S-S-IL,bullet,4MP,4,"1/2.7"" CMOS",,hybrid,IP67,false,
dahua-ipc-hfw2831t-as-s2-latam,Dahua,IPC-HFW2831T-AS-S2 (LATAM),turret,4K UHD,8,"1/2.7"" CMOS",113 horizontal (2.8mm),ir,IP67,false,2022
dahua-ipc-hfw2831t-zas-s2,Dahua,IPC-HFW2831T-ZAS-S2,bullet,4K UHD,8,"1/2.7"" CMOS",,ir,IP67,false,
dahua-ipc-hfw2841t-zas-s2,Dahua,IPC-HFW2841T-ZAS-S2,bullet,4K UHD,8,,110-30h,ir,IP67,false,2023
dahua-ipc-hfw2849s-s-il,Dahua,IPC-HFW2849S-S-IL,bullet,4K UHD,8,"1/2.7"" CMOS",,hybrid,IP67,false,
dahua-ipc-hfw2849s-s-il-mena,Dahua,IPC-HFW2849S-S-IL (MENA),bullet,4K UHD,8,"1/2.7"" CMOS",102 horizontal (2.8mm),hybrid,IP67,false,2023
dahua-ipc-hfw2849s-s-il-s2,Dahua,IPC-HFW2849S-S-IL-S2,bullet,4K UHD,8,,106h,hybrid,IP67,false,2023
dahua-ipc-hfw2849s-s-il-vn,Dahua,IPC-HFW2849S-S-IL (Vietnam),bullet,4K UHD,8,"1/2.7"" CMOS",102 horizontal,hybrid,IP67,false,2023
dahua-ipc-hfw2849t1-as-pv,Dahua,IPC-HFW2849T1-AS-PV,bullet,4K UHD,8,,107h,hybrid,IP67,true,2023
dahua-ipc-hfw3241e-s,Dahua,IPC-HFW3241E-S,bullet,1080p HD,2,,106h,ir,IP67,false,2022
dahua-ipc-hfw3441e-s,Dahua,IPC-HFW3441E-S,bullet,4MP,4,,106h,ir,IP67,false,2022
dahua-ipc-hfw3449s1-as-pv,Dahua,IPC-HFW3449S1-AS-PV,bullet,4MP,4,"1/2.7"" CMOS",,hybrid,IP67,true,
dahua-ipc-hfw3549e-as-led,Dahua,IPC-HFW3549E-AS-LED,bullet,5MP,5,"1/2.7"" CMOS",,color,IP67,false,
dahua-ipc-hfw3549t-as-pv,Dahua,IPC-HFW3549T-AS-PV,bullet,5MP,5,"1/2.7"" CMOS",,hybrid,IP67,true,
dahua-ipc-hfw3649t1-as-pv-s2,Dahua,IPC-HFW3649T1-AS-PV-S2,bullet,6MP,6,"1/2.7"" CMOS",,hybrid,IP67,true,2024
dahua-ipc-hfw3841e-zas,Dahua,IPC-HFW3841E-ZAS,bullet,4K UHD,8,,106-30h,ir,IP67,false,2023
dahua-ipc-hfw3849e-as-il,Dahua,IPC-HFW3849E-AS-IL,bullet,4K UHD,8,"1/2.7"" CMOS",,hybrid,IP67,false,
dahua-ipc-hfw3849e-as-led-4k,Dahua,IPC-HFW3849E-AS-LED,bullet,4K UHD,8,"1/2.7"" CMOS",,color,IP67,false,
dahua-ipc-hfw3849e-as-led-s2,Dahua,IPC-HFW3849E-AS-LED-S2,bullet,4K UHD,8,"1/2.7"" CMOS",,color,IP67,false,2024
dahua-ipc-hfw3849e-as-led-s2-new,Dahua,IPC-HFW3849E-ZAS-LED-S2,bullet,4K UHD,8,"1/2.7"" CMOS",110-30 horizontal,color,IP67,false,2024
dahua-ipc-hfw3849e-s-il,Dahua,IPC-HFW3849E-S-IL,bullet,4K UHD,8,"1/2.7"" CMOS",,hybrid,IP67,false,
dahua-ipc-hfw3849t-as-pv-pro-legacy,Dahua,IPC-HFW3849T1-AS-PV-PRO,bullet,4K UHD,8,"1/1.8"" CMOS",,hybrid,IP67,true,
dahua-ipc-hfw3849t1-as-pv,Dahua,IPC-HFW3849T1-AS-PV,bullet,4K UHD,8,"1/2.8"" CMOS",,hybrid,IP67,true,
dahua-ipc-hfw3849t1-as-pv-pro,Dahua,IPC-HFW3849T1-AS-PV-PRO,bullet,4K UHD,8,,107h,hybrid,IP67,true,2024
dahua-ipc-hfw3849t1-as-pv-s3,Dahua,IPC-HFW3849T1-AS-PV,bullet,4K UHD,8,,110h,hybrid,IP67,true,2023
dahua-ipc-hfw3849t1-zas-pv,Dahua,IPC-HFW3849T1-ZAS-PV,bullet,4K UHD,8,"1/2.8"" CMOS",,hybrid,IP67,true,
dahua-ipc-hfw5442e-ze,Dahua,IPC-HFW5442E-ZE,bullet,4MP,4,"1/1.8"" Progressive Scan CMOS",,ir,IP67,false,
dahua-ipc-hfw5442e-ze-s3,Dahua,IPC-HFW5442E-ZE-S3,bullet,4MP,4,,110-30h,ir,IP67,false,2023
dahua-ipc-hfw5842e-ze,Dahua,IPC-HFW5842E-ZE,bullet,4K UHD,8,"1/1.8"" CMOS",,ir,IP67,false,
dahua-ipc-hfw5842h-z4e,Dahua,IPC-HFW5842H-Z4E,bullet,4K UHD,8,"1/2.8"" CMOS",,ir,IP67,false,
dahua-ipc-hfw5842h-z4he,Dahua,IPC-HFW5842H-Z4HE,bullet,4K UHD,8,"1/1.8"" CMOS",,ir,IP67,false,
dahua-ipc-hfw5849t-ase-led,Dahua,IPC-HFW5849T-ASE-LED,bullet,4K UHD,8,"1/1.2"" CMOS",113 horizontal,color,IP67,true,2023
dahua-ipc-hfw7442h-z4-x,Dahua,IPC-HFW7442H-Z4-X,bullet,4MP,4,,83-15h,ir,IP67,false,2022
dahua-ipc-hfw7842h-z-x,Dahua,IPC-HFW7842H-Z-X,bullet,4K UHD,8,,106-30h,ir,IP67,false,2022
dahua-ipc-hfw7842h-z4-x,Dahua,IPC-HFW7842H-Z4-X,bullet,4K UHD,8,"1/1.8"" CMOS",,ir,IP67,false,
dahua-ipc-pdbw5831-b360,Dahua,IPC-PDBW5831-B360,panoramic,4x2MP 360deg,8,"4x 1/2.8"" CMOS",360,ir,IP66,false,
dahua-ipc-pf83230-a180,Dahua,IPC-PF83230-A180,panoramic,4x8MP 180deg,32,"4x 1/2.7"" CMOS",180,none,IP67,false,
dahua-ipc-pfw5849-a180,Dahua,IPC-PFW5849-A180,panoramic,4x2MP 180°,8,"4x 1/2.8"" CMOS",180 horizontal,ir,IP66,false,2022
dahua-ipc-pfw5849-a180-e2-aste,Dahua,IPC-PFW5849-A180-E2-ASTE,panoramic,2x4MP 180°,8,"2x 1/2.8"" CMOS",180 horizontal,hybrid,IP67,true,2024
dahua-ipc-pfw8802-a180,Dahua,IPC-PFW8802-A180,panoramic,8MP 180deg,8,"4x 1/1.9"" Progressive Scan CMOS",180,ir,IP67,false,
dahua-ipc-pt8849-a180,Dahua,IPC-PT8849-A180,panoramic,4K 180° multisensor,8,,180h,ir,IP66,false,2023
dahua-itc237-pw1b-irz-lr,Dahua,ITC237-PW1B-IRZ-LR,bullet,2MP LPR,2,"1/2.8"" CMOS",,ir,IP67,false,2023
dahua-sd49225xa-hnr-mena,Dahua,SD49225XA-HNR (MENA),ptz,1080p HD,2,"1/2.8"" STARVIS CMOS",60-2.5 horizontal,ir,IP66,false,2022
dahua-sd49225xb-hnr,Dahua,SD49225XB-HNR,ptz,1080p,2,"1/2.8"" CMOS",60-2.5 horizontal,ir,IP66,false,
dahua-sd49425xb-hnr,Dahua,SD49425XB-HNR 4MP 25x PTZ,ptz,4MP,4,"1/2.8"" CMOS",60.3-2.6 horizontal,ir,IP66,false,
dahua-sd49825gb-hnr,Dahua,SD49825GB-HNR,ptz,4K UHD,8,"1/2.8"" CMOS",60-2.5h,ir,IP66,false,2023
dahua-sd5a432gb-hnr,Dahua,SD5A432GB-HNR,ptz,4MP,4,"1/2.8"" CMOS",,ir,IP66,false,
dahua-sd6c3432xb-hnr-a-pv1,Dahua,SD6C3432XB-HNR-A-PV1,ptz,4MP,4,"1/2.8"" CMOS",,hybrid,IP66,true,
dahua-sd6c3432xb-hnr-active,Dahua,SD6C3432XB-HNR-A-PV1-new,ptz,4MP,4,"1/2.8"" CMOS",60-2h,color,IP66,false,2024
eufy-e340-eufycam-dual,Eufy,EufyCam E340 (Dual-lens),dual-lens,4K+2K dual-lens,8,,360 combined pan/tilt,color,IP67,true,2025
eufy-eufycam-2-pro,Eufy,EufyCam 2 Pro,bullet,2K QHD,4,,140 diagonal,ir,IP67,true,2020
eufy-eufycam-2c,Eufy,EufyCam 2C,bullet,1080p HD,2,,135 diagonal,ir,IP67,true,2020
eufy-eufycam-3-pro,Eufy,EufyCam 3 Pro,bullet,4K UHD,8,,135 diagonal,color,IP67,true,2023
eufy-eufycam-3c-2k,Eufy,EufyCam 3C 2K,bullet,2K QHD,4,,135 diagonal,color,IP67,true,2024
eufy-eufycam-e330-pro,Eufy,EufyCam E330 (Pro),bullet,4K UHD,8,,135 diagonal,color,IP67,true,2024
eufy-eufycam-s330-pro,Eufy,EufyCam S330 Pro,bullet,4K UHD,8,,130 diagonal,color,IP67,true,2024
